time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-1253.89,513.385,728.905,-7016.67,-11635.4,-416.29,4704.23,-285.411,-1284.52,-3369.74,836.851,565.507,1531.14,721.807,-2383.96,798.346,-369.708,763.937
0.03,1243.95,-511.798,-711.556,7017.07,11634.7,416.851,-4692.27,293.031,1302.93,3380.91,-834.059,-569.68,-1508.93,-698.898,2408.37,-770.691,377.951,-766.72
0.04,525.137,-206.984,-318.062,2899.64,4802.95,166.68,-1971.16,96.3983,508.226,1375.16,-332.398,-223.157,-682.762,-359.12,950.124,-395.631,146.045,-312.187
0.05,-515.523,210.508,292.463,-2896.36,-4802.56,-171.851,1941.17,-119.628,-533.29,-1396.1,342.188,234.758,621.335,291.942,-1000.04,325.293,-153.476,317.593
0.06,-204.962,93.3064,132.599,-1197.79,-1980.87,-68.5854,816.275,-46.4132,-209.147,-567.256,144.365,90.915,256.628,125.553,-407.051,151.035,-56.3663,125.393
0.07,217.513,-82.9309,-119.705,1196.19,1983.31,70.941,-797.614,46.6962,211.905,574.426,-137.412,-99.8957,-274.523,-130.037,411.327,-126.588,62.6531,-139.043
0.08,80.924,-41.2768,-53.3806,495.791,817.837,27.9604,-331.102,22.5608,81.8715,228.842,-61.8209,-33.8011,-111.876,-41.6202,167.448,-40.7232,24.1449,-53.532
0.09,-89.872,31.719,51.7312,-493.388,-818.08,-29.7495,335.184,-16.176,-89.7798,-242.77,54.4541,45.6782,103.394,59.9431,-178.287,63.3629,-23.2808,58.4702
0.1,-30.8469,14.75,20.1399,-204.834,-336.995,-11.5382,142.811,-8.35478,-39.3857,-99.6414,22.3253,14.9643,34.2383,19.7848,-76.3402,24.878,-9.3864,22.1156
0.11,40.0014,-11.1655,-23.3139,202.743,336.662,12.0581,-115.609,0.179713,7.67415,102.318,-19.838,-12.7217,-93.3178,-35.1593,99.2763,-5.34287,26.9028,-32.2282
0.12,5.47556,-1.50836,0.157994,83.6605,137.599,3.69522,-25.8552,-4.33772,-18.8502,51.2756,-1.59622,-8.29653,-63.847,-11.2596,44.1328,6.4872,42.3215,-21.0238
0.13,-23.8565,2.06984,11.1689,-83.4289,-136.978,-5.15177,47.3124,0.933231,15.5693,-46.205,4.54247,-0.938334,71.8665,36.0672,-102.805,-18.2426,-5.24419,25.9927
0.14,7.93666,-7.84418,-5.95993,-34.5338,-54.3051,-0.963267,-8.03334,9.57971,40.3099,-42.3955,-9.91161,4.72158,58.3554,21.8291,-65.4897,-15.8515,-55.827,26.8878
0.15,19.0278,-6.58296,-5.14212,33.5501,56.4857,2.15756,-17.4368,3.2099,-11.7338,5.03363,-7.26548,-4.16994,-45.4807,-5.43829,40.6262,21.888,-27.861,-11.3
0.16,-5.71721,3.43393,3.44763,13.7324,21.9096,0.34008,12.3852,-6.95428,-26.0198,17.253,4.49448,-5.08338,-29.2765,-0.886372,33.0669,12.6758,12.368,-11.5271
0.17,-14.3494,7.86251,-2.76231,-14.1617,-23.6056,-0.546357,17.9282,-12.7025,-1.26057,2.12847,7.74682,5.64107,20.7569,7.26151,-9.42031,-9.20561,-2.3251,10.0259
0.18,-4.64663,5.58595,-4.65144,-6.73745,-9.50982,-0.0397952,8.51461,-7.91506,8.7185,-2.81608,5.15492,-0.259316,9.87663,7.02304,-3.72593,-5.36788,-20.3193,6.71215
0.19,3.02326,-1.3003,2.11134,4.56128,9.53021,-0.0647632,-1.84763,5.76357,12.8269,0.794638,-0.846688,-8.11028,-5.08631,2.62486,26.4547,-0.604626,-9.50437,-5.82711
0.2,0.123937,-3.74866,1.61692,2.2874,3.91374,0.440919,-3.88096,8.54122,8.73843,2.68114,-4.3859,-0.877945,7.09397,0.686823,31.807,-1.874,-3.49087,-3.70073
0.21,-11.7318,7.18202,2.91824,-1.90542,-4.71726,0.199877,8.17534,2.1025,11.1459,9.95888,6.89023,3.53517,13.2946,4.46023,23.1121,-2.03198,-21.6617,2.85577
0.22,-3.98411,0.200701,5.11892,-1.33109,-1.69411,-0.864765,2.61411,6.71416,8.64997,4.33369,1.14746,-0.707039,10.1174,-1.48647,8.4404,-4.55434,-5.54855,0.112502
0.23,21.1983,-26.128,0.793624,0.563265,3.77528,0.140017,-24.3922,17.4275,-16.0676,-18.9483,-27.3948,1.96969,11.8855,-12.4407,-3.6127,-2.3686,43.559,-3.8079
0.24,10.0069,-11.8013,-1.95169,0.684888,1.40103,1.35589,-11.6341,6.69978,-13.8517,-13.3896,-13.8172,7.69351,5.58267,1.71794,11.6497,9.18114,16.2739,1.10453
0.25,-13.4963,17.6477,-0.0931798,-0.980999,-2.4532,0.762966,14.5655,-7.23363,13.6573,10.1829,17.7326,4.91866,1.97771,13.8407,19.9082,7.36513,-30.4741,5.44267
0.26,-7.8563,9.66959,1.46831,-0.958008,-1.28986,-0.543612,5.13087,-2.15417,15.0877,10.4735,10.2874,-2.14107,12.3287,1.99232,-1.39267,-5.35825,-8.09196,1.21227
0.27,2.65611,-7.1347,2.1271,0.682668,0.544469,-0.991639,-6.84883,4.60027,-2.13208,-0.531635,-7.29735,-3.68832,15.3984,-6.02033,-15.4387,-6.0924,20.2885,-2.59642
0.28,2.52303,-5.38623,1.59801,0.288456,0.43341,0.299615,-0.772235,3.97167,-5.68344,-3.869,-6.51663,0.953398,6.08329,-1.24502,-7.33071,0.707131,12.961,-0.151861
0.29,1.66144,4.41714,-0.989209,-0.676509,0.434407,0.735106,-2.84043,-2.16087,2.23022,1.12112,3.99491,-0.771301,12.7072,-5.21754,-4.27751,-1.51196,4.62789,0.107796
0.3,0.69671,2.26648,-2.31354,-0.428457,-0.546542,0.17227,-4.21169,-1.8994,3.25144,1.74972,2.24642,-1.49752,10.4732,-1.68915,-4.13153,-0.273655,7.53476,-0.461537
0.31,-9.47441,-4.45449,-1.96693,-0.234613,-2.26505,0.863281,13.0592,7.31526,6.10808,-0.0101198,-6.38228,7.42263,-6.02826,23.0178,8.62003,9.0689,3.07128,5.21953
0.32,-3.08934,1.28429,-2.52997,-0.413136,-0.129184,0.412555,1.72004,0.105031,4.74377,3.34566,0.992548,0.391456,12.1947,0.801386,0.0188623,-4.32948,1.64687,1.52186
0.33,7.57454,1.41338,1.51755,-0.0364467,1.36852,-0.922123,-12.9465,-5.05736,-4.86289,0.915482,2.92389,-8.89854,21.6072,-20.3891,-11.9494,-9.72056,13.5705,-4.62715
0.34,0.111698,-3.79371,3.69565,0.170154,-0.716964,-0.252674,1.31325,2.85564,-3.42324,-2.91502,-4.51202,-0.691629,0.163658,3.68488,-0.304877,4.75258,10.6184,-0.2238
0.35,-4.72947,-1.08874,-3.30008,-0.257128,-1.01586,0.77404,2.79461,1.2595,2.54692,2.16727,-2.47083,1.42932,2.47904,8.91798,8.53215,-0.157194,5.82562,2.91308
0.36,-4.93189,2.12661,-2.76551,-0.0939384,0.0870945,0.365504,-4.91221,-2.60328,3.24284,5.47702,2.02915,-4.0048,19.0951,3.18202,4.9614,-3.60983,10.1247,0.697763
0.37,6.89819,8.08622,2.08375,0.0794536,0.32214,-0.453734,-10.9703,-9.98925,-2.83656,-1.45272,9.91792,-4.8831,11.0083,-13.8486,-8.48717,3.33757,-16.6498,-6.06963
0.38,8.02842,4.75737,-4.88469,0.371877,-0.153674,-0.452216,-6.46983,-7.7945,-2.41427,-5.60789,6.84229,1.44906,4.34884,-12.3067,-6.82666,4.64674,-19.6123,-3.19563
0.39,-4.74917,-3.7821,-6.75625,0.00336546,-0.758409,-0.00898308,3.54101,3.24739,3.57174,-0.684034,-3.65089,3.06021,8.29176,10.2876,5.16634,1.28406,8.43938,3.81056
