time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-12.5389,5.13385,7.28905,-70.1667,-116.354,-4.1629,47.0423,-2.85411,-12.8452,-33.6974,8.36851,5.65507,15.3114,7.21807,-23.8396,7.98346,-3.69708,7.63937
0.03,-0.0993805,0.0158732,0.173492,0.00397529,-0.00720045,0.00561207,0.119521,0.0761989,0.18405,0.111702,0.0279179,-0.0417385,0.222036,0.229098,0.244109,0.27655,0.0824295,-0.0278271
0.04,5.15199,-2.05396,-3.00713,29.0004,48.0223,1.67241,-19.5921,1.04018,5.26631,13.8633,-3.29606,-2.27331,-6.60558,-3.3621,9.74535,-3.67976,1.54288,-3.1497
0.05,-0.00324303,0.051113,-0.0825073,0.0368013,-0.0033033,-0.0460953,-0.18043,-0.156095,-0.0665873,-0.0976896,0.12582,0.0742705,-0.392234,-0.442682,-0.255024,-0.426833,0.00811694,0.026224
0.06,-2.05286,0.984177,1.24348,-11.9411,-19.812,-0.73195,7.98232,-0.620227,-2.15805,-5.77025,1.56947,0.98342,2.17404,0.812851,-4.32553,1.08352,-0.555546,1.28016
0.07,0.122274,0.154868,0.0464385,0.0208326,0.0210525,-0.0225393,0.00617505,-0.153265,-0.0390029,-0.0259985,0.195358,-0.0155367,-0.57119,-0.487518,-0.212263,-0.182357,0.0709846,-0.110271
0.08,0.931513,-0.257901,-0.487367,4.97875,8.19942,0.257065,-3.30484,0.0723433,0.779712,2.26242,-0.42285,-0.353547,-1.68995,-0.90372,1.46222,-0.589589,0.312434,-0.645591
0.09,0.0327929,0.0592892,0.029945,0.0448634,0.018616,-0.0404299,0.0469961,-0.0894171,-0.118086,-0.165275,0.121691,0.103235,-0.656012,-0.304289,-0.320657,0.0440394,0.0796255,-0.0608894
0.1,-0.275676,0.206789,0.231344,-2.00347,-3.35134,-0.155812,1.4751,-0.172965,-0.511943,-1.16169,0.344944,0.252878,-0.313628,-0.106441,-1.08406,0.292819,-0.0142385,0.160267
0.11,0.124338,0.0951337,-0.0017955,0.0239605,0.0152868,-0.0352301,0.319016,-0.171168,-0.435201,-0.138513,0.146564,0.125661,-1.24681,-0.458034,-0.0912949,0.239391,0.254789,-0.162015
0.12,0.179094,0.0800501,-0.000215563,0.860565,1.39128,0.00172203,0.0604641,-0.214545,-0.623703,0.374242,0.130602,0.0426955,-1.88528,-0.57063,0.350033,0.304263,0.678004,-0.372253
0.13,-0.0594713,0.100748,0.111473,0.0262758,0.0214924,-0.0497957,0.533588,-0.205213,-0.46801,-0.0878081,0.176026,0.0333122,-1.16661,-0.209958,-0.678013,0.121837,0.625562,-0.112326
0.14,0.0198952,0.0223066,0.0518738,-0.319062,-0.521559,-0.0594284,0.453255,-0.109416,-0.0649111,-0.511763,0.0769102,0.080528,-0.583057,0.00833283,-1.33291,-0.0366776,0.0672921,0.156552
0.15,0.210173,-0.043523,0.000452587,0.0164396,0.0432977,-0.0378528,0.278887,-0.0773165,-0.182249,-0.461427,0.00425542,0.0388286,-1.03786,-0.04605,-0.926649,0.182202,-0.211318,0.0435516
0.16,0.153001,-0.00918371,0.0349289,0.153764,0.262393,-0.0344519,0.402739,-0.146859,-0.442447,-0.288897,0.0492002,-0.0120052,-1.33063,-0.0549137,-0.59598,0.30896,-0.0876381,-0.0717195
0.17,0.00950733,0.0694414,0.00730575,0.0121471,0.0263374,-0.0399155,0.582021,-0.273884,-0.455052,-0.267612,0.126668,0.0444055,-1.12306,0.0177014,-0.690183,0.216904,-0.110889,0.028539
0.18,-0.036959,0.125301,-0.0392086,-0.0552274,-0.0687608,-0.0403135,0.667167,-0.353035,-0.367867,-0.295773,0.178218,0.0418123,-1.02429,0.0879318,-0.727442,0.163225,-0.314082,0.0956606
0.19,-0.00672642,0.112298,-0.0180952,-0.00961458,0.0265414,-0.0409611,0.648691,-0.295399,-0.239598,-0.287827,0.169751,-0.0392905,-1.07516,0.11418,-0.462896,0.157179,-0.409125,0.0373894
0.2,-0.00548705,0.0748114,-0.00192598,0.0132594,0.0656788,-0.0365519,0.609881,-0.209987,-0.152214,-0.261015,0.125892,-0.0480699,-1.00422,0.121049,-0.144825,0.138439,-0.444034,0.000382151
0.21,-0.122805,0.146632,0.0272564,-0.00579475,0.0185061,-0.0345531,0.691635,-0.188962,-0.0407549,-0.161427,0.194794,-0.0127182,-0.87127,0.165651,0.0862952,0.118119,-0.660652,0.0289399
0.22,-0.162646,0.148639,0.0784456,-0.0191056,0.00156504,-0.0432008,0.717776,-0.12182,0.0457448,-0.11809,0.206269,-0.0197886,-0.770096,0.150786,0.170699,0.0725755,-0.716137,0.0300649
0.23,0.0493367,-0.112641,0.0863818,-0.013473,0.0393179,-0.0418006,0.473854,0.0524543,-0.114931,-0.307573,-0.0676795,-9.16909e-05,-0.651241,0.0263796,0.134572,0.0488896,-0.280547,-0.00801414
0.24,0.149406,-0.230655,0.0668649,-0.0066241,0.0533282,-0.0282417,0.357513,0.119452,-0.253448,-0.441469,-0.205851,0.0768434,-0.595414,0.043559,0.251069,0.140701,-0.117809,0.00303115
0.25,0.0144427,-0.0541774,0.0659331,-0.0164341,0.0287961,-0.0206121,0.503168,0.0471158,-0.116875,-0.33964,-0.028525,0.12603,-0.575637,0.181966,0.450151,0.214352,-0.42255,0.0574578
0.26,-0.0641202,0.0425185,0.0806162,-0.0260142,0.0158976,-0.0260482,0.554477,0.025574,0.034002,-0.234905,0.074349,0.104619,-0.45235,0.201889,0.436224,0.16077,-0.50347,0.0695805
0.27,-0.0375591,-0.0288285,0.101887,-0.0191875,0.0213423,-0.0359646,0.485988,0.0715767,0.0126812,-0.240222,0.00137557,0.0677361,-0.298366,0.141686,0.281837,0.0998459,-0.300585,0.0436163
0.28,-0.0123288,-0.0826908,0.117867,-0.0163029,0.0256764,-0.0329684,0.478266,0.111293,-0.0441532,-0.278911,-0.0637908,0.0772701,-0.237533,0.129236,0.20853,0.106917,-0.170975,0.0420977
0.29,0.00428566,-0.0385194,0.107975,-0.023068,0.0300204,-0.0256174,0.449862,0.0896847,-0.0218511,-0.2677,-0.0238417,0.0695571,-0.110461,0.0770602,0.165755,0.0917976,-0.124696,0.0431756
0.3,0.0112528,-0.0158546,0.0848397,-0.0273526,0.024555,-0.0238947,0.407745,0.0706908,0.0106633,-0.250203,-0.00137752,0.0545819,-0.00572842,0.0601687,0.12444,0.0890611,-0.0493487,0.0385603
0.31,-0.0834914,-0.0603995,0.0651704,-0.0296987,0.00190453,-0.0152619,0.538337,0.143843,0.0717442,-0.250304,-0.0652004,0.128808,-0.066011,0.290346,0.21064,0.17975,-0.0186359,0.0907555
0.32,-0.114385,-0.0475567,0.0398707,-0.0338301,0.000612683,-0.0111363,0.555538,0.144894,0.119182,-0.216848,-0.0552749,0.132723,0.0559363,0.29836,0.210829,0.136455,-0.00216716,0.105974
0.33,-0.0386394,-0.0334229,0.0550463,-0.0341945,0.0142979,-0.0203576,0.426073,0.0943201,0.070553,-0.207693,-0.026036,0.0437373,0.272008,0.0944694,0.0913347,0.0392496,0.133538,0.0597026
0.34,-0.0375224,-0.07136,0.0920028,-0.032493,0.00712823,-0.0228843,0.439205,0.122876,0.0363206,-0.236843,-0.0711563,0.036821,0.273645,0.131318,0.0882859,0.0867755,0.239722,0.0574646
0.35,-0.0848171,-0.0822474,0.0590019,-0.0350643,-0.00303036,-0.0151439,0.467152,0.135471,0.0617898,-0.21517,-0.0958645,0.0511142,0.298435,0.220498,0.173607,0.0852035,0.297978,0.0865954
0.36,-0.134136,-0.0609813,0.0313469,-0.0360037,-0.00215941,-0.0114889,0.418029,0.109439,0.0942181,-0.1604,-0.075573,0.0110662,0.489386,0.252318,0.223221,0.0491052,0.399224,0.0935731
