time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0,0.107157,-0.0458864,-0.0609923,0.613616,1.01789,0.0371513,-0.406518,0.0284997,0.116365,0.297602,-0.0754079,-0.0510859,-0.124852,-0.0522616,0.215229,-0.0576761,0.0335538,-0.0673529
0.01,0.110987,-0.0441835,-0.0645655,0.614089,1.01802,0.0359548,-0.41445,0.0230802,0.110724,0.293489,-0.0715263,-0.0486906,-0.139031,-0.0693521,0.205227,-0.0767381,0.0320008,-0.0666615
0.02,-0.0144013,0.00715497,0.00832499,-0.0875774,-0.145522,-0.00567424,0.0559726,-0.00546089,-0.0177278,-0.043485,0.0121588,0.00786004,0.0140832,0.0028286,-0.0331687,0.00309652,-0.00497,0.00973215
0.03,-0.0153951,0.0073137,0.0100599,-0.0875377,-0.145594,-0.00561812,0.0571678,-0.0046989,-0.0158873,-0.042368,0.012438,0.00744265,0.0163035,0.00511958,-0.0307276,0.00586202,-0.0041457,0.00945388
0.04,0.0361248,-0.0132259,-0.0200114,0.202467,0.334629,0.011106,-0.138753,0.00570293,0.0367758,0.0962648,-0.0205226,-0.0152904,-0.0497523,-0.0285015,0.0667259,-0.0309356,0.0112831,-0.0220431
0.05,0.0360924,-0.0127148,-0.0208365,0.202835,0.334596,0.0106451,-0.140557,0.00414198,0.0361099,0.0952879,-0.0192644,-0.0145477,-0.0536746,-0.0329283,0.0641757,-0.0352039,0.0113643,-0.0217809
0.06,0.0155638,-0.00287304,-0.00840166,0.0834241,0.136476,0.00332556,-0.0607343,-0.00206029,0.0145294,0.0375853,-0.0035697,-0.00471354,-0.0319342,-0.0247998,0.0209204,-0.0243687,0.00580881,-0.00897932
0.07,0.0167865,-0.00132437,-0.00793727,0.0836324,0.136686,0.00310017,-0.0606725,-0.00359294,0.0141394,0.0373253,-0.00161611,-0.0048689,-0.0376461,-0.0296749,0.0187977,-0.0261922,0.00651866,-0.010082
0.08,0.0261017,-0.00390337,-0.0128109,0.13342,0.21868,0.00567082,-0.093721,-0.00286951,0.0219365,0.0599496,-0.00584462,-0.00840438,-0.0545456,-0.0387122,0.0334199,-0.0320881,0.009643,-0.0165379
0.09,0.0264296,-0.00331048,-0.0125115,0.133868,0.218866,0.00526652,-0.093251,-0.00376368,0.0207557,0.0582968,-0.00462771,-0.00737203,-0.0611057,-0.041755,0.0302133,-0.0316477,0.0104393,-0.0171468
0.1,0.0236728,-0.00124259,-0.0101981,0.113834,0.185353,0.0037084,-0.0785,-0.00549333,0.0156362,0.0466799,-0.00117827,-0.00484326,-0.064242,-0.0428195,0.0193727,-0.0287196,0.0102969,-0.0155442
0.11,0.0249162,-0.000291256,-0.010216,0.114073,0.185506,0.0033561,-0.0753098,-0.007205,0.0112842,0.0452948,0.000287368,-0.00358665,-0.07671,-0.0473998,0.0184598,-0.0263256,0.0128448,-0.0171643
0.12,0.0267071,0.000509245,-0.0102182,0.122679,0.199419,0.00337332,-0.0747052,-0.00935045,0.00504717,0.0490372,0.00159338,-0.00315969,-0.0955628,-0.0531061,0.0219601,-0.023283,0.0196248,-0.0208868
0.13,0.0261124,0.00151673,-0.00910344,0.122942,0.199634,0.00287537,-0.0693693,-0.0114026,0.000367072,0.0481591,0.00335365,-0.00282657,-0.107229,-0.0552057,0.01518,-0.0220647,0.0258804,-0.0220101
0.14,0.0263114,0.0017398,-0.0085847,0.119751,0.194418,0.00228108,-0.0648368,-0.0124967,-0.000282039,0.0430415,0.00412275,-0.00202129,-0.113059,-0.0551223,0.00185089,-0.0224314,0.0265533,-0.0204446
0.15,0.0284131,0.00130457,-0.00858018,0.119916,0.194851,0.00190256,-0.0620479,-0.0132699,-0.00210453,0.0384272,0.0041653,-0.00163301,-0.123438,-0.0555828,-0.0074156,-0.0206094,0.0244402,-0.0200091
0.16,0.0299431,0.00121273,-0.00823089,0.121453,0.197475,0.00155804,-0.0580205,-0.0147385,-0.006529,0.0355383,0.0046573,-0.00175306,-0.136744,-0.056132,-0.0133754,-0.0175198,0.0235638,-0.0207263
0.17,0.0300382,0.00190714,-0.00815783,0.121575,0.197738,0.00115888,-0.0522003,-0.0174773,-0.0110795,0.0328621,0.00592399,-0.001309,-0.147975,-0.055955,-0.0202772,-0.0153508,0.0224549,-0.0204409
0.18,0.0296686,0.00316015,-0.00854992,0.121022,0.197051,0.000755746,-0.0455286,-0.0210077,-0.0147582,0.0299044,0.00770616,-0.00089088,-0.158218,-0.0550757,-0.0275516,-0.0137185,0.0193141,-0.0194843
0.19,0.0296013,0.00428313,-0.00873087,0.120926,0.197316,0.000346135,-0.0390417,-0.0239617,-0.0171542,0.0270261,0.00940367,-0.00128378,-0.168969,-0.0539338,-0.0321806,-0.0121467,0.0152228,-0.0191104
0.2,0.0295465,0.00503125,-0.00875013,0.121059,0.197973,-1.93846e-05,-0.0329429,-0.0260616,-0.0186763,0.024416,0.0106626,-0.00176448,-0.179012,-0.0527234,-0.0336289,-0.0107623,0.0107825,-0.0191066
0.21,0.0283184,0.00649756,-0.00847756,0.121001,0.198158,-0.000364916,-0.0260265,-0.0279512,-0.0190839,0.0228017,0.0126105,-0.00189167,-0.187724,-0.0510669,-0.0327659,-0.00958115,0.00417596,-0.0188172
0.22,0.026692,0.00798395,-0.00769311,0.12081,0.198174,-0.000796924,-0.0188488,-0.0291694,-0.0186264,0.0216208,0.0146732,-0.00208955,-0.195425,-0.049559,-0.0310589,-0.0088554,-0.00298541,-0.0185165
0.23,0.0271853,0.00685754,-0.00682929,0.120675,0.198567,-0.00121493,-0.0141102,-0.0286448,-0.0197757,0.0185451,0.0139964,-0.00209047,-0.201938,-0.0492952,-0.0297132,-0.0083665,-0.00579089,-0.0185966
