time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0,0.107157,-0.0458864,-0.0609923,0.613616,1.01789,0.0371513,-0.406518,0.0284997,0.116365,0.297602,-0.0754079,-0.0510859,-0.124852,-0.0522616,0.215229,-0.0576761,0.0335538,-0.0673529
0.01,0.110987,-0.0441835,-0.0645655,0.614089,1.01802,0.0359548,-0.41445,0.0230802,0.110724,0.293489,-0.0715263,-0.0486906,-0.139031,-0.0693521,0.205227,-0.0767381,0.0320008,-0.0666615
0.02,0.113134,-0.0404847,-0.0597121,0.615005,1.01787,0.0341731,-0.422549,0.0187919,0.111491,0.291985,-0.0627582,-0.0476374,-0.152357,-0.0869231,0.199726,-0.0958994,0.0341034,-0.0672236
0.03,0.11372,-0.036811,-0.0619933,0.61619,1.01775,0.0324426,-0.42924,0.0109189,0.108362,0.290496,-0.0562833,-0.0436687,-0.165378,-0.105315,0.195711,-0.11417,0.0341668,-0.0666852
0.04,0.106833,-0.0381772,-0.0620175,0.618167,1.01684,0.03086,-0.433403,0.0104955,0.108485,0.288002,-0.0545084,-0.0436,-0.168263,-0.10766,0.19506,-0.11542,0.0344163,-0.0666304
0.05,0.113458,-0.0305698,-0.0613023,0.618726,1.01785,0.0292656,-0.437821,0.000737876,0.11276,0.286832,-0.0441722,-0.03925,-0.194031,-0.136185,0.177508,-0.141002,0.0401016,-0.0650937
0.06,0.118049,-0.0242128,-0.0623921,0.620133,1.01847,0.0278737,-0.440438,-0.00761455,0.106442,0.284628,-0.0356577,-0.0413485,-0.221553,-0.162036,0.168398,-0.153147,0.0405426,-0.0711932
0.07,0.12017,-0.0184477,-0.0590925,0.622101,1.01914,0.0260897,-0.440912,-0.0134254,0.104946,0.280374,-0.026362,-0.0392597,-0.249422,-0.181172,0.157097,-0.156429,0.0449953,-0.0752733
0.08,0.123803,-0.0143398,-0.0607556,0.624091,1.02029,0.0243659,-0.438789,-0.0206822,0.097781,0.273364,-0.0201078,-0.0335691,-0.283648,-0.20128,0.140871,-0.158817,0.0479687,-0.0783792
0.09,0.126761,-0.0100541,-0.0534479,0.626068,1.02137,0.0222246,-0.435216,-0.0229928,0.0937147,0.265545,-0.0119164,-0.0326857,-0.319533,-0.216872,0.124098,-0.15539,0.0537174,-0.0838621
0.1,0.13335,-0.00786033,-0.0619294,0.627797,1.02301,0.020864,-0.428051,-0.0323292,0.0808343,0.254428,-0.00929368,-0.0242907,-0.363449,-0.236663,0.102644,-0.152527,0.0562556,-0.0855393
0.11,0.137653,0.00119801,-0.0507077,0.62866,1.02205,0.0180296,-0.395785,-0.0421928,0.0389179,0.253833,0.00644403,-0.0170178,-0.464712,-0.268013,0.129168,-0.123496,0.0880748,-0.104446
0.12,0.132137,0.00540947,-0.0505442,0.630175,1.02349,0.0157792,-0.368247,-0.0555194,0.0118403,0.250529,0.0128164,-0.018154,-0.516949,-0.27663,0.0831255,-0.121396,0.121538,-0.110332
0.13,0.137659,0.00868564,-0.0456774,0.631644,1.02569,0.0135764,-0.356964,-0.0598994,0.0118983,0.236238,0.0193984,-0.0105261,-0.560458,-0.287201,0.0425864,-0.121916,0.131121,-0.10622
0.14,0.14604,0.0061275,-0.0478976,0.632556,1.02767,0.0115277,-0.336175,-0.0671627,-0.00893131,0.215159,0.019256,-0.0100949,-0.623011,-0.291127,-0.00647163,-0.109794,0.129959,-0.108131
0.15,0.151273,0.00768092,-0.0414351,0.633308,1.02925,0.00916906,-0.315038,-0.0722763,-0.0229883,0.197829,0.0243618,-0.0107904,-0.679647,-0.292379,-0.0466807,-0.0990508,0.129656,-0.108839
0.16,0.156325,0.00713584,-0.0437874,0.634161,1.0311,0.00719088,-0.290658,-0.0832529,-0.0436082,0.179422,0.0262929,-0.00668231,-0.736763,-0.293579,-0.0871256,-0.0891013,0.122551,-0.106564
0.17,0.15526,0.0143036,-0.0444346,0.63451,1.03238,0.0052721,-0.257206,-0.10152,-0.0669242,0.165657,0.0363634,-0.00524388,-0.795898,-0.290121,-0.125051,-0.0764383,0.107694,-0.10351
0.18,0.156223,0.0185266,-0.0444629,0.634182,1.03383,0.00300318,-0.22494,-0.115333,-0.0812833,0.150068,0.0437223,-0.00676497,-0.853789,-0.286163,-0.153067,-0.068609,0.0925883,-0.102101
0.19,0.154947,0.0238101,-0.0459945,0.633807,1.03519,0.000944786,-0.191141,-0.129993,-0.0926162,0.135964,0.0518506,-0.00826844,-0.906987,-0.279527,-0.169969,-0.0603557,0.0702184,-0.100684
0.2,0.153461,0.0277785,-0.0455879,0.63347,1.03655,-0.000555232,-0.159764,-0.139594,-0.100669,0.122966,0.0578044,-0.00830784,-0.954255,-0.27343,-0.174137,-0.0541798,0.0450162,-0.0990159
0.21,0.139092,0.0431681,-0.0419362,0.633071,1.03683,-0.00312585,-0.114087,-0.151821,-0.0939352,0.121522,0.0770341,-0.0110154,-1.00148,-0.260715,-0.164434,-0.0476554,-0.00518575,-0.0971903
0.22,0.144868,0.0350339,-0.0381348,0.632186,1.03915,-0.0051258,-0.0930876,-0.148675,-0.101883,0.103928,0.0709036,-0.0114361,-1.03538,-0.262481,-0.163229,-0.0476491,-0.0129176,-0.098029
0.23,0.147483,0.0281873,-0.0349156,0.632004,1.04119,-0.00686661,-0.0681903,-0.146528,-0.112253,0.0850838,0.0658224,-0.00867903,-1.07022,-0.257616,-0.150111,-0.0397099,-0.0292715,-0.0975943
0.24,0.148672,0.024917,-0.0304424,0.631101,1.0428,-0.00821551,-0.0420588,-0.143715,-0.118339,0.0676936,0.0642214,-0.00359177,-1.10204,-0.249895,-0.129885,-0.0302948,-0.0501215,-0.0953359
